TIME	EVENT	NODES
0	O	Root
4.187511077714989	S	Root;1;n1;2;n2;3
4.844293709453745	S	n1;2;n3;4;n4;5
6.3343131288765475	D	n4;5;n4;6;n4;7
6.343788664382323	S	n4;6;n5;8;n6;9
6.343788664382323	S	n4;7;n5;10;n6;11
7.032399041991546	L	n3;4
7.032399041991546	T	n5;8;n5;12;n3;13
7.461657474483729	S	n6;9;n7;14;n8;15
7.461657474483729	S	n6;11;n7;16;n8;17
8.314981374060952	S	n8;15;n9;18;n10;19
8.314981374060952	S	n8;17;n9;20;n10;21
10.044671389850963	D	n5;10;n5;22;n5;23
11.357004905749223	E	n7;14
11.357004905749223	E	n7;16
11.372560777851175	L	n5;12
12.722918161776562	D	n10;21;n10;24;n10;25
13.146754713478709	S	n5;22;n11;26;n12;27
13.146754713478709	S	n5;23;n11;28;n12;29
13.932012094127934	D	n2;3;n2;30;n2;31
16.200793963600574	E	n3;13
16.567403830161158	S	n10;19;n13;32;n14;33
16.567403830161158	S	n10;24;n13;34;n14;35
16.567403830161158	S	n10;25;n13;36;n14;37
16.92794603110737	D	n14;37;n14;38;n14;39
17.332624481574445	E	n13;32
17.332624481574445	E	n13;34
17.332624481574445	E	n13;36
17.510940424754818	D	n2;31;n2;40;n2;41
19.16324440740152	S	n9;18;n15;42;n16;43
19.16324440740152	S	n9;20;n15;44;n16;45
19.541834997338018	L	n16;45
19.541834997338018	T	n15;42;n15;46;n16;47
21.042912484040116	S	n14;33;n17;48;n18;49
21.042912484040116	S	n14;35;n17;50;n18;51
21.042912484040116	S	n14;38;n17;52;n18;53
21.042912484040116	S	n14;39;n17;54;n18;55
21.218135116893492	S	n16;43;n19;56;n20;57
21.218135116893492	S	n16;47;n19;58;n20;59
21.90786886805524	S	n19;56;n21;60;n22;61
21.90786886805524	S	n19;58;n21;62;n22;63
22.3432788972331	S	n11;26;n23;64;n24;65
22.3432788972331	S	n11;28;n23;66;n24;67
23.30159335618724	D	n2;30;n2;68;n2;69
23.327374363271478	L	n17;48
23.756985320500803	D	n17;50;n17;70;n17;71
23.954336085282627	S	n22;61;n25;72;n26;73
23.954336085282627	S	n22;63;n25;74;n26;75
24.08080022667432	S	n18;49;n27;76;n28;77
24.08080022667432	S	n18;51;n27;78;n28;79
24.08080022667432	S	n18;53;n27;80;n28;81
24.08080022667432	S	n18;55;n27;82;n28;83
24.230543837398265	D	n27;80;n27;84;n27;85
24.516450701251763	L	n15;46
24.516450701251763	T	n25;72;n25;86;n15;87
24.620094583705463	L	n25;86
24.89555242455975	L	n24;65
24.89555242455975	T	n17;54;n17;88;n24;89
25.34600530459667	L	n12;27
27.5213626923895	D	n20;59;n20;90;n20;91
27.554947452108376	S	n23;64;n29;92;n30;93
27.554947452108376	S	n23;66;n29;94;n30;95
27.73446667033969	L	n28;79
27.73446667033969	T	n27;82;n27;96;n28;97
27.931209110848865	S	n25;74;n31;98;n32;99
27.971072119891755	E	n21;60
27.971072119891755	E	n21;62
28.426496086035794	D	n24;89;n24;100;n24;101
28.945707236619427	D	n28;97;n28;102;n28;103
29.035416467045504	E	n30;93
29.035416467045504	E	n30;95
29.459769704529013	S	n26;73;n33;104;n34;105
29.459769704529013	S	n26;75;n33;106;n34;107
29.563333229672377	L	n17;52
29.658832958454028	S	n29;92;n35;108;n36;109
29.658832958454028	S	n29;94;n35;110;n36;111
29.73612421315088	S	n20;57;n37;112;n38;113
29.73612421315088	S	n20;90;n37;114;n38;115
29.73612421315088	S	n20;91;n37;116;n38;117
30.094048899792508	L	n2;69
30.389199055551433	F	n36;109
30.389199055551433	F	n36;111
30.389199055551433	F	n17;70
30.389199055551433	F	n17;71
30.389199055551433	F	n17;88
30.389199055551433	F	n37;112
30.389199055551433	F	n37;114
30.389199055551433	F	n37;116
30.389199055551433	F	n27;76
30.389199055551433	F	n27;78
30.389199055551433	F	n27;84
30.389199055551433	F	n27;85
30.389199055551433	F	n27;96
30.389199055551433	F	n2;68
30.389199055551433	F	n2;40
30.389199055551433	F	n2;41
30.389199055551433	F	n31;98
30.389199055551433	F	n34;105
30.389199055551433	F	n34;107
30.389199055551433	F	n38;113
30.389199055551433	F	n38;115
30.389199055551433	F	n38;117
30.389199055551433	F	n32;99
30.389199055551433	F	n12;29
30.389199055551433	F	n28;77
30.389199055551433	F	n28;102
30.389199055551433	F	n28;103
30.389199055551433	F	n28;81
30.389199055551433	F	n28;83
30.389199055551433	F	n35;108
30.389199055551433	F	n35;110
30.389199055551433	F	n24;100
30.389199055551433	F	n24;101
30.389199055551433	F	n24;67
30.389199055551433	F	n33;104
30.389199055551433	F	n33;106
30.389199055551433	F	n15;87
30.389199055551433	F	n15;44
