FAMILY	Root	Initial	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36
Fam19	1	0	3	3	2	2	3	3	2	2	2	2	2	2	2	2	3	3	2	2	1	1	2	2	1	1	1	1	1	1	1	1	3	3	1	1	3	3
Fam20	1	0	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	4	4	7	7	4	4	7	7	7	7	7	7	7	7	5	5	7	7	5	5
Fam21	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	4	4	4	4	4	4	4	1	1	4	4	1	1
Fam22	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1
Fam23	1	0	2	2	2	2	2	2	3	3	5	5	5	5	5	5	5	5	5	5	2	2	5	5	2	2	2	2	2	2	2	2	6	6	2	2	7	7
Fam24	1	0	1	1	1	1	2	2	2	2	3	3	2	2	2	2	2	2	3	3	0	0	4	4	0	0	0	0	0	0	0	0	5	5	0	0	3	3
Fam25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam26	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6
Fam27	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5
Fam28	1	0	2	2	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	1	1
Fam29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam30	1	0	3	3	3	3	4	4	5	5	5	5	5	5	5	5	6	6	5	5	3	3	6	6	3	3	3	3	3	3	3	3	7	7	3	3	5	5
Fam31	1	0	2	2	2	2	3	3	3	3	4	4	4	4	4	4	1	1	4	4	2	2	4	4	2	2	2	2	2	2	2	2	4	4	3	3	1	1
Fam32	1	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fam33	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	3	3	2	2	3	3	3	3	3	3	4	4	2	2	4	4	4	4
Fam34	1	0	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	4	4
Fam35	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	3	3	3
Fam36	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	3	3	5	5	4	4
Fam37	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	4	4	4	4	4	4	4	4	3	3	5	5	2	2
Fam38	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
Fam39	1	0	4	4	5	5	4	4	4	4	4	4	4	4	4	4	3	3	3	3	6	6	3	3	6	6	6	6	6	6	6	6	3	3	6	6	5	5
