POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	10
1	2	-	14
2	2	-	16
3	3	+	16
4	3	+	18
5	4	+	10
6	5	-	10
7	6	-	16
8	7	-	14
9	9	+	58
10	9	+	60
11	9	+	62
12	9	+	64
13	9	+	66
14	9	+	68
15	10	+	24
16	10	+	26
17	13	-	10
18	14	+	12
19	14	+	14
20	16	+	48
21	16	+	49
22	16	+	44
23	16	+	46
24	18	-	10
25	19	-	30
26	19	-	32
27	20	+	46
28	20	+	48
29	20	+	50
30	20	+	52
31	20	+	54
32	21	-	10
33	22	+	14
34	23	-	34
35	23	-	36
36	23	-	38
37	23	-	40
38	23	-	42
39	24	-	22
40	24	-	24
41	26	-	36
42	26	-	38
43	26	-	40
44	27	+	30
45	27	+	32
46	28	-	22
47	30	+	52
48	30	+	54
49	30	+	56
50	30	+	58
51	30	+	60
52	31	+	32
53	31	+	34
54	31	+	36
55	31	+	38
56	32	+	16
57	33	-	22
58	33	-	24
59	34	+	26
60	34	+	28
61	34	+	30
62	35	+	28
63	35	+	30
64	36	-	24
65	36	-	26
66	37	-	24
67	37	-	26
68	38	-	20
69	38	-	22
70	39	-	56
71	39	-	58
72	39	-	60
73	39	-	62
74	40	+	26
75	40	+	28
76	40	+	30
77	41	+	12
78	42	-	24
79	42	-	26
80	45	-	20
81	45	-	22
82	46	-	20
83	48	+	14
84	49	+	16
85	49	+	18
86	50	-	14
