POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	16
1	2	-	28
2	3	+	56
3	3	+	57
4	3	+	46
5	3	+	47
6	5	-	16
7	6	-	32
8	6	-	33
9	6	-	28
10	7	-	20
11	9	+	112
12	9	+	114
13	9	+	116
14	9	+	118
15	9	+	120
16	9	+	122
17	9	+	124
18	9	+	126
19	10	+	62
20	10	+	63
21	10	+	42
22	14	+	58
23	14	+	59
24	14	+	32
25	14	+	34
26	16	+	72
27	16	+	104
28	16	+	105
29	16	+	76
30	18	-	18
31	19	-	44
32	19	-	46
33	19	-	48
34	20	+	84
35	20	+	86
36	20	+	88
37	20	+	90
38	20	+	96
39	20	+	97
40	21	-	24
41	22	+	28
42	22	+	29
43	23	-	68
44	23	-	70
45	23	-	72
46	23	-	74
47	23	-	76
48	24	-	70
49	24	-	71
50	24	-	38
51	26	-	154
52	26	-	155
53	26	-	66
54	26	-	68
55	26	-	70
56	26	-	72
57	27	+	50
58	27	+	52
59	27	+	54
60	28	-	30
61	30	+	88
62	30	+	90
63	30	+	92
64	30	+	94
65	30	+	96
66	30	+	98
67	31	+	56
68	32	+	22
69	33	-	40
70	33	-	42
71	33	-	44
72	33	-	46
73	34	+	46
74	34	+	52
75	34	+	53
76	34	+	50
77	35	+	44
78	35	+	46
79	35	+	48
80	36	-	38
81	36	-	40
82	37	-	44
83	37	-	46
84	38	-	36
85	38	-	38
86	38	-	40
87	39	-	80
88	39	-	84
89	40	+	46
90	40	+	48
91	40	+	106
92	40	+	107
93	41	+	34
94	41	+	35
95	41	+	22
96	42	-	44
97	42	-	46
98	45	-	34
99	45	-	36
100	46	-	44
101	46	-	45
102	48	+	20
103	49	+	44
104	49	+	46
105	49	+	108
106	49	+	109
107	49	+	50
108	49	+	52
109	49	+	54
110	50	-	20
