POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	13
1	2	-	26
2	2	-	27
3	2	-	21
4	3	+	21
5	4	+	16
6	4	+	17
7	5	-	13
8	6	-	19
9	7	-	17
10	9	+	71
11	9	+	73
12	9	+	75
13	9	+	77
14	9	+	81
15	10	+	29
16	10	+	38
17	10	+	39
18	13	-	13
19	14	+	26
20	14	+	27
21	14	+	19
22	16	+	51
23	16	+	53
24	16	+	68
25	16	+	69
26	16	+	57
27	18	-	13
28	19	-	35
29	19	-	37
30	20	+	57
31	20	+	59
32	20	+	61
33	20	+	63
34	20	+	65
35	21	-	18
36	21	-	19
37	22	+	17
38	23	-	45
39	23	-	47
40	23	-	49
41	23	-	51
42	23	-	53
43	24	-	27
44	24	-	29
45	26	-	45
46	26	-	47
47	26	-	49
48	27	+	35
49	27	+	46
50	28	-	25
51	30	+	63
52	30	+	84
53	30	+	85
54	30	+	67
55	30	+	69
56	30	+	71
57	31	+	41
58	31	+	43
59	31	+	45
60	31	+	47
61	32	+	19
62	33	-	34
63	33	-	35
64	33	-	29
65	34	+	33
66	34	+	35
67	34	+	44
68	34	+	45
69	35	+	35
70	35	+	37
71	36	-	29
72	36	-	31
73	37	-	29
74	37	-	32
75	37	-	40
76	37	-	41
77	38	-	27
78	38	-	29
79	39	-	65
80	39	-	67
81	39	-	69
82	39	-	71
83	40	+	33
84	40	+	37
85	41	+	15
86	42	-	38
87	42	-	39
88	42	-	31
89	45	-	25
90	45	-	27
91	46	-	30
92	46	-	31
93	48	+	17
94	49	+	32
95	49	+	33
96	49	+	27
97	50	-	17
