POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	37
1	2	-	53
2	3	+	51
3	4	+	33
4	5	-	31
5	6	-	45
6	7	-	37
7	9	+	227
8	9	+	229
9	9	+	231
10	9	+	233
11	9	+	235
12	9	+	237
13	9	+	239
14	10	+	67
15	13	-	41
16	13	-	43
17	14	+	53
18	16	+	135
19	16	+	137
20	16	+	139
21	16	+	141
22	18	-	33
23	19	-	69
24	20	+	175
25	20	+	177
26	20	+	179
27	20	+	181
28	20	+	183
29	20	+	185
30	20	+	187
31	21	-	63
32	21	-	65
33	21	-	67
34	21	-	69
35	23	-	123
36	23	-	125
37	26	-	125
38	26	-	127
39	26	-	129
40	26	-	131
41	27	+	107
42	27	+	109
43	27	+	111
44	27	+	113
45	28	-	53
46	28	-	55
47	30	+	153
48	30	+	155
49	30	+	157
50	31	+	102
51	31	+	103
52	31	+	93
53	32	+	39
54	33	-	89
55	33	-	91
56	33	-	93
57	33	-	95
58	34	+	81
59	34	+	83
60	35	+	77
61	35	+	79
62	35	+	81
63	36	-	95
64	36	-	97
65	36	-	99
66	36	-	101
67	36	-	103
68	37	-	93
69	37	-	95
70	37	-	97
71	37	-	106
72	37	-	107
73	38	-	55
74	39	-	167
75	39	-	169
76	39	-	171
77	39	-	173
78	39	-	175
79	39	-	177
80	40	+	109
81	40	+	111
82	40	+	113
83	40	+	115
84	41	+	49
85	42	-	77
86	45	-	63
87	45	-	65
88	46	-	63
89	46	-	65
90	48	+	31
91	49	+	81
92	49	+	83
93	50	-	37
