POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	17
1	2	-	31
2	3	+	29
3	3	+	31
4	5	-	17
5	6	-	27
6	7	-	21
7	9	+	113
8	9	+	115
9	9	+	117
10	9	+	268
11	9	+	269
12	9	+	121
13	9	+	123
14	9	+	125
15	9	+	127
16	10	+	56
17	10	+	57
18	10	+	43
19	14	+	31
20	14	+	33
21	14	+	35
22	16	+	73
23	16	+	75
24	16	+	77
25	18	-	19
26	19	-	45
27	19	-	47
28	19	-	49
29	20	+	85
30	20	+	87
31	20	+	89
32	20	+	91
33	20	+	93
34	21	-	25
35	22	+	21
36	23	-	80
37	23	-	106
38	23	-	107
39	23	-	71
40	23	-	73
41	23	-	75
42	23	-	77
43	24	-	46
44	24	-	47
45	24	-	39
46	26	-	65
47	26	-	67
48	26	-	69
49	26	-	71
50	26	-	140
51	26	-	141
52	27	+	80
53	27	+	81
54	27	+	53
55	27	+	56
56	27	+	57
57	28	-	31
58	30	+	89
59	30	+	91
60	30	+	95
61	30	+	97
62	30	+	99
63	31	+	57
64	32	+	23
65	33	-	41
66	33	-	43
67	33	-	45
68	33	-	47
69	34	+	74
70	34	+	75
71	34	+	54
72	34	+	55
73	35	+	45
74	35	+	47
75	35	+	49
76	36	-	64
77	36	-	65
78	36	-	43
79	36	-	41
80	37	-	45
81	37	-	47
82	38	-	37
83	38	-	39
84	38	-	41
85	39	-	148
86	39	-	149
87	39	-	115
88	39	-	83
89	39	-	85
90	40	+	47
91	40	+	49
92	40	+	51
93	41	+	52
94	41	+	53
95	41	+	23
96	42	-	45
97	42	-	47
98	45	-	35
99	45	-	37
100	46	-	35
101	48	+	21
102	49	+	45
103	49	+	47
104	49	+	49
105	49	+	51
106	49	+	53
107	49	+	55
108	50	-	24
109	50	-	25
