POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	2	-	8
1	3	+	12
2	3	+	14
3	4	+	24
4	4	+	25
5	5	-	8
6	6	-	12
7	6	-	22
8	6	-	23
9	7	-	28
10	7	-	29
11	9	+	108
12	9	+	109
13	9	+	50
14	9	+	51
15	9	+	44
16	9	+	110
17	9	+	224
18	9	+	225
19	9	+	141
20	10	+	18
21	10	+	20
22	13	-	8
23	14	+	24
24	14	+	25
25	16	+	70
26	16	+	71
27	16	+	41
28	16	+	34
29	16	+	36
30	18	-	16
31	18	-	17
32	19	-	26
33	20	+	77
34	20	+	82
35	20	+	83
36	20	+	94
37	20	+	95
38	20	+	42
39	20	+	106
40	20	+	107
41	21	-	22
42	21	-	82
43	21	-	83
44	22	+	12
45	23	-	32
46	23	-	78
47	23	-	79
48	23	-	66
49	23	-	158
50	23	-	159
51	24	-	14
52	24	-	16
53	26	-	26
54	26	-	58
55	26	-	59
56	26	-	30
57	27	+	48
58	27	+	49
59	27	+	29
60	28	-	20
61	28	-	21
62	30	+	83
63	30	+	174
64	30	+	175
65	30	+	42
66	30	+	46
67	31	+	26
68	31	+	28
69	32	+	24
70	32	+	25
71	33	-	18
72	33	-	20
73	34	+	20
74	34	+	58
75	34	+	59
76	34	+	24
77	35	+	20
78	35	+	22
79	36	-	16
80	36	-	18
81	37	-	22
82	37	-	66
83	37	-	67
84	37	-	38
85	38	-	16
86	39	-	52
87	40	+	18
88	40	+	20
89	41	+	24
90	41	+	25
91	42	-	22
92	45	-	14
93	45	-	16
94	46	-	16
95	46	-	26
96	46	-	32
97	46	-	33
98	48	+	12
99	49	+	34
100	49	+	35
101	50	-	12
