POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	42
1	2	-	58
2	3	+	58
3	4	+	36
4	5	-	34
5	6	-	48
6	7	-	38
7	9	+	252
8	9	+	254
9	9	+	256
10	9	+	258
11	9	+	260
12	9	+	262
13	9	+	264
14	10	+	72
15	13	-	46
16	13	-	48
17	14	+	60
18	16	+	154
19	16	+	156
20	16	+	158
21	18	-	34
22	19	-	76
23	20	+	198
24	20	+	200
25	20	+	202
26	20	+	204
27	20	+	206
28	20	+	208
29	20	+	210
30	21	-	74
31	21	-	76
32	21	-	78
33	21	-	80
34	23	-	140
35	23	-	142
36	26	-	146
37	26	-	148
38	26	-	150
39	26	-	152
40	27	+	122
41	27	+	124
42	27	+	126
43	27	+	128
44	28	-	60
45	28	-	62
46	30	+	176
47	30	+	178
48	30	+	180
49	31	+	104
50	31	+	106
51	31	+	110
52	31	+	111
53	32	+	42
54	33	-	100
55	33	-	102
56	33	-	104
57	33	-	106
58	34	+	86
59	34	+	88
60	35	+	88
61	35	+	94
62	35	+	95
63	35	+	92
64	36	-	110
65	36	-	112
66	36	-	114
67	36	-	116
68	36	-	118
69	37	-	108
70	37	-	110
71	37	-	112
72	37	-	114
73	37	-	116
74	38	-	58
75	39	-	186
76	39	-	188
77	39	-	190
78	39	-	192
79	39	-	194
80	39	-	196
81	40	+	124
82	40	+	126
83	40	+	128
84	40	+	130
85	41	+	54
86	42	-	90
87	45	-	72
88	45	-	74
89	46	-	68
90	46	-	70
91	48	+	34
92	49	+	92
93	49	+	94
94	50	-	40
