POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	33
1	2	-	49
2	3	+	45
3	4	+	29
4	5	-	27
5	6	-	41
6	7	-	33
7	9	+	191
8	9	+	193
9	9	+	195
10	9	+	197
11	9	+	199
12	9	+	201
13	9	+	203
14	9	+	205
15	10	+	61
16	13	-	33
17	13	-	35
18	14	+	49
19	16	+	119
20	16	+	121
21	16	+	123
22	16	+	125
23	18	-	29
24	19	-	65
25	20	+	147
26	20	+	149
27	20	+	151
28	20	+	153
29	20	+	155
30	20	+	157
31	20	+	159
32	21	-	47
33	21	-	49
34	21	-	51
35	21	-	53
36	23	-	113
37	23	-	115
38	26	-	109
39	26	-	113
40	26	-	115
41	27	+	91
42	27	+	93
43	27	+	95
44	27	+	97
45	28	-	45
46	28	-	47
47	30	+	141
48	30	+	143
49	30	+	145
50	31	+	83
51	31	+	85
52	32	+	35
53	33	-	75
54	33	-	77
55	33	-	79
56	34	+	71
57	34	+	73
58	35	+	67
59	35	+	69
60	36	-	77
61	36	-	79
62	36	-	81
63	36	-	83
64	37	-	77
65	37	-	81
66	37	-	83
67	38	-	51
68	39	-	137
69	39	-	139
70	39	-	141
71	39	-	145
72	39	-	147
73	40	+	87
74	40	+	89
75	40	+	91
76	40	+	93
77	41	+	41
78	41	+	43
79	42	-	73
80	45	-	55
81	45	-	57
82	46	-	55
83	46	-	57
84	48	+	27
85	49	+	73
86	49	+	75
87	50	-	33
