POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	48
1	2	-	60
2	3	+	62
3	3	+	64
4	5	-	38
5	6	-	50
6	7	-	40
7	9	+	270
8	9	+	272
9	9	+	274
10	9	+	276
11	9	+	278
12	9	+	280
13	9	+	282
14	9	+	284
15	9	+	286
16	10	+	74
17	10	+	76
18	10	+	78
19	14	+	62
20	14	+	64
21	14	+	66
22	16	+	162
23	16	+	164
24	16	+	166
25	18	-	36
26	19	-	78
27	19	-	80
28	19	-	82
29	20	+	212
30	20	+	214
31	20	+	216
32	20	+	218
33	20	+	220
34	21	-	86
35	22	+	30
36	23	-	144
37	23	-	146
38	23	-	148
39	23	-	150
40	23	-	152
41	23	-	154
42	23	-	156
43	24	-	72
44	24	-	74
45	24	-	76
46	26	-	156
47	26	-	158
48	26	-	160
49	26	-	162
50	26	-	164
51	26	-	166
52	27	+	136
53	27	+	138
54	27	+	140
55	27	+	142
56	27	+	144
57	28	-	64
58	30	+	182
59	30	+	184
60	30	+	186
61	30	+	188
62	30	+	190
63	31	+	112
64	32	+	44
65	33	-	108
66	33	-	110
67	33	-	112
68	33	-	114
69	34	+	90
70	34	+	92
71	34	+	94
72	34	+	96
73	35	+	98
74	35	+	100
75	35	+	102
76	36	-	122
77	36	-	124
78	36	-	126
79	36	-	128
80	37	-	118
81	37	-	120
82	38	-	62
83	38	-	64
84	38	-	66
85	39	-	200
86	39	-	202
87	39	-	204
88	39	-	206
89	39	-	208
90	40	+	134
91	40	+	136
92	40	+	138
93	41	+	58
94	41	+	60
95	41	+	62
96	42	-	92
97	42	-	94
98	45	-	76
99	45	-	78
100	46	-	78
101	48	+	36
102	49	+	96
103	49	+	98
104	49	+	100
105	49	+	102
106	49	+	104
107	49	+	106
108	50	-	42
109	50	-	44
