POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	14
1	2	-	22
2	2	-	24
3	3	+	24
4	3	+	26
5	4	+	14
6	5	-	14
7	6	-	20
8	7	-	18
9	9	+	84
10	9	+	86
11	9	+	88
12	9	+	90
13	9	+	92
14	9	+	94
15	10	+	37
16	10	+	34
17	13	-	14
18	14	+	20
19	14	+	22
20	16	+	58
21	16	+	60
22	16	+	62
23	16	+	64
24	18	-	14
25	19	-	38
26	19	-	40
27	20	+	66
28	20	+	70
29	20	+	72
30	20	+	74
31	21	-	16
32	22	+	18
33	23	-	54
34	23	-	56
35	23	-	58
36	23	-	60
37	23	-	62
38	24	-	34
39	24	-	35
40	24	-	32
41	26	-	50
42	26	-	60
43	26	-	61
44	26	-	54
45	27	+	42
46	27	+	43
47	27	+	40
48	28	-	28
49	30	+	72
50	30	+	74
51	30	+	76
52	30	+	78
53	30	+	80
54	31	+	48
55	31	+	50
56	31	+	52
57	31	+	54
58	32	+	20
59	33	-	30
60	33	-	32
61	34	+	40
62	35	+	38
63	35	+	40
64	36	-	32
65	36	-	36
66	36	-	37
67	37	-	34
68	37	-	36
69	38	-	30
70	39	-	72
71	39	-	74
72	39	-	78
73	40	+	44
74	40	+	45
75	40	+	40
76	40	+	42
77	41	+	16
78	42	-	36
79	42	-	40
80	42	-	41
81	42	-	42
82	42	-	43
83	45	-	28
84	45	-	30
85	46	-	28
86	46	-	29
87	49	+	28
88	49	+	30
89	50	-	18
