TIME	EVENT	NODES
21.57558200055422	L	35_11
21.687408433715632	L	8_5
22.18374234871914	D	40_5;40_8;40_9
22.295698957168298	D	19_13;19_16;19_17
22.639543414702324	L	39_25
22.89941279886534	L	38_11
23.751248275393863	D	39_23;39_40;39_41
23.86734786520878	D	27_9;27_18;27_19
24.326806145681992	D	37_9;37_16;37_17
24.93069205119209	D	16_15;16_26;16_27
27.56941287489976	D	27_19;27_20;27_21
27.937175753297716	D	41_5;41_8;41_9
28.69191623636157	D	16_26;16_38;16_39
28.901711413838946	D	19_16;19_28;19_29
29.164847962645045	D	36_9;36_20;36_21
29.350658612090022	D	9_15;9_52;9_53
29.605752017022027	D	27_20;27_26;27_27
30.93941819895863	L	19_28
31.154190431260858	D	36_11;36_22;36_23
31.61703217247264	D	20_15;20_40;20_41
32.2763493951674	D	40_8;40_24;40_25
32.342000654883975	D	20_17;20_44;20_45
32.40406499035586	L	36_22
32.40976054938839	D	26_15;26_34;26_35
32.65242491382928	L	32_7
33.29117903009058	D	39_40;39_54;39_55
35.24420082110923	D	21_5;21_12;21_13
35.46109553171037	L	27_21
35.689123969750376	D	49_5;49_22;49_23
35.701433814870796	D	28_11;28_26;28_27
35.72699438133701	D	9_17;9_82;9_83
36.03569582629323	L	19_17
36.69185250875858	D	9_52;9_98;9_99
38.26736276447289	D	21_12;21_20;21_21
38.26995061161156	D	9_82;9_102;9_103
38.58821982760956	D	35_9;35_42;35_43
38.79116858103659	D	9_53;9_104;9_105
38.87360618822913	L	10_9
40.02078241021393	D	45_5;45_32;45_33
40.10474280327965	L	24_5
40.24792745659134	D	20_45;20_78;20_79
40.33323308165805	D	20_41;20_80;20_81
40.698241991707555	L	16_17
42.2516995858827	D	49_23;49_42;49_43
42.260563194536815	L	49_42
42.39949014869719	L	42_11
42.46504307695969	L	19_15
42.85692400325502	D	37_16;37_42;37_43
42.91534343732641	L	39_27
43.73799202426479	L	22_5
43.769426937099034	L	9_103
44.13018574887416	D	33_11;33_48;33_49
44.26261887798202	D	39_19;39_86;39_87
44.75333721650711	D	40_24;40_60;40_61
44.80224296177432	D	13_5;13_18;13_19
