TIME	EVENT	NODES
36.02344996999908	L	48_18
36.65460174202682	D	42_32;42_36;42_37
36.69806808539121	D	27_38;27_42;27_43
38.113780259903294	D	24_30;24_34;24_35
38.30429806456883	L	34_42
38.56129629249651	D	46_24;46_28;46_29
38.96841649477485	D	10_32;10_36;10_37
39.98744552957264	L	38_32
40.57383711367024	D	40_38;40_44;40_45
41.0933498467344	L	39_76
41.286533039029436	L	34_38
41.519827712834505	D	42_37;42_40;42_41
42.33704377102112	D	26_52;26_60;26_61
42.99446769645031	L	20_68
43.330181174754294	D	36_34;36_36;36_37
43.36239353069528	D	42_34;42_42;42_43
44.453200351498985	L	10_36
