POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	37
1	2	+	48
2	2	+	49
3	3	+	47
4	5	-	39
5	6	+	33
6	7	-	97
7	7	-	99
8	7	-	101
9	7	-	103
10	7	-	138
11	7	-	139
12	7	-	107
13	9	-	45
14	9	-	66
15	10	-	39
16	10	-	41
17	13	-	73
18	13	-	75
19	15	-	39
20	15	-	41
21	16	+	77
22	16	+	86
23	16	+	87
24	16	+	81
25	16	+	83
26	17	+	49
27	21	-	29
28	21	-	31
29	23	+	83
30	24	-	162
31	24	-	163
32	24	-	95
33	24	-	110
34	24	-	99
35	24	-	134
36	24	-	133
37	18	+	123
38	24	-	105
39	25	-	89
40	25	-	91
41	25	-	93
42	25	-	110
43	25	-	111
44	26	+	55
45	27	-	62
46	27	-	63
47	28	+	68
48	28	+	69
49	29	-	37
50	29	-	39
51	30	-	51
52	33	+	115
53	33	+	117
54	35	-	73
55	35	-	75
56	36	-	119
57	36	-	121
58	36	-	123
59	37	+	77
60	37	+	102
61	37	+	103
62	37	+	81
63	37	+	83
64	38	-	46
65	38	-	47
66	39	-	25
67	40	-	67
68	40	-	69
69	41	-	49
70	41	-	51
71	41	-	60
72	41	-	55
73	42	+	205
74	42	+	207
75	19	-	51
76	42	+	209
77	42	+	228
78	42	+	229
79	42	+	227
80	42	+	217
81	43	-	55
82	45	+	53
83	45	+	55
84	4	-	53
85	46	+	67
86	48	+	79
87	48	+	81
88	49	-	99
89	49	-	101
90	49	-	103
91	49	-	105
92	50	-	31
93	50	-	33
94	50	-	42
