POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	36
1	2	+	46
2	3	+	46
3	5	-	38
4	6	+	39
5	7	-	96
6	7	-	98
7	7	-	100
8	7	-	102
9	7	-	104
10	7	-	106
11	9	-	44
12	9	-	46
13	10	-	38
14	10	-	40
15	13	-	70
16	13	-	72
17	13	-	74
18	15	-	38
19	15	-	40
20	46	+	95
21	16	+	76
22	16	+	78
23	16	+	80
24	16	+	82
25	17	+	71
26	21	-	28
27	21	-	30
28	23	+	82
29	44	-	52
30	24	-	92
31	24	-	94
32	24	-	96
33	24	-	98
34	24	-	106
35	24	-	161
36	24	-	104
37	25	-	88
38	25	-	90
39	25	-	128
40	25	-	129
41	25	-	94
42	26	+	54
43	27	-	64
44	28	+	60
45	29	-	36
46	29	-	40
47	29	-	41
48	30	-	50
49	33	+	120
50	33	+	116
51	35	-	72
52	35	-	74
53	36	-	118
54	36	-	134
55	36	-	122
56	37	+	76
57	37	+	78
58	37	+	84
59	37	+	85
60	37	+	96
61	38	-	40
62	39	-	24
63	40	-	72
64	40	-	73
65	40	-	68
66	41	-	48
67	41	-	50
68	41	-	68
69	41	-	54
70	42	+	204
71	42	+	272
72	42	+	324
73	42	+	325
74	42	+	330
75	42	+	331
76	42	+	212
77	42	+	214
78	42	+	298
79	42	+	299
80	43	-	50
81	45	+	54
82	4	-	71
83	48	+	78
84	48	+	80
85	48	+	82
86	49	-	98
87	49	-	100
88	49	-	102
89	34	+	47
90	49	-	104
91	50	-	30
92	50	-	32
93	50	-	38
94	50	-	39
