POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	51
1	3	+	79
2	3	+	81
3	3	+	83
4	5	-	53
5	6	+	43
6	7	-	136
7	7	-	137
8	9	-	69
9	9	-	71
10	10	-	47
11	12	-	51
12	13	-	103
13	13	-	105
14	13	-	107
15	15	-	59
16	16	+	111
17	16	+	113
18	16	+	115
19	17	+	69
20	18	+	181
21	18	+	183
22	18	+	185
23	18	+	187
24	30	-	81
25	30	-	83
26	18	+	189
27	18	+	191
28	19	-	63
29	23	+	145
30	24	-	151
31	24	-	153
32	25	-	121
33	25	-	123
34	25	-	125
35	25	-	130
36	26	+	77
37	26	+	79
38	27	-	91
39	28	+	99
40	28	+	101
41	28	+	103
42	29	-	47
43	32	+	29
44	33	+	159
45	33	+	161
46	33	+	163
47	34	+	45
48	35	-	105
49	35	-	107
50	36	-	189
51	36	-	191
52	36	-	193
53	36	-	195
54	37	+	113
55	37	+	115
56	37	+	117
57	38	-	51
58	4	-	81
59	4	-	83
60	4	-	85
61	4	-	87
62	39	-	39
63	40	-	109
64	40	-	111
65	40	-	113
66	41	-	67
67	42	+	309
68	42	+	311
69	42	+	313
70	42	+	315
71	42	+	317
72	42	+	319
73	42	+	321
74	42	+	323
75	43	-	85
76	43	-	87
77	44	-	81
78	45	+	79
79	46	+	101
80	46	+	103
81	48	+	119
82	48	+	121
83	48	+	123
84	48	+	125
85	48	+	127
86	48	+	129
87	48	+	131
88	48	+	133
89	49	-	131
90	49	-	133
91	49	-	135
92	49	-	137
