POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	40
1	1	-	39
2	3	+	32
3	3	+	34
4	5	-	30
5	6	+	28
6	7	-	70
7	9	-	36
8	10	-	28
9	12	-	28
10	13	-	56
11	13	-	76
12	13	-	60
13	15	-	28
14	16	+	52
15	17	+	52
16	17	+	53
17	18	+	126
18	50	-	41
19	18	+	84
20	18	+	124
21	18	+	130
22	18	+	134
23	18	+	88
24	30	-	40
25	18	+	122
26	18	+	92
27	19	-	32
28	19	-	34
29	23	+	54
30	24	-	68
31	24	-	72
32	25	-	86
33	25	-	98
34	25	-	99
35	25	-	100
36	25	-	101
37	25	-	74
38	26	+	42
39	26	+	58
40	26	+	59
41	26	+	46
42	27	-	42
43	27	-	50
44	27	-	51
45	28	+	36
46	29	-	32
47	32	+	18
48	33	+	86
49	33	+	90
50	34	+	33
51	35	-	59
52	35	-	66
53	35	-	67
54	36	-	88
55	36	-	90
56	36	-	92
57	37	+	60
58	37	+	62
59	38	-	36
60	4	-	42
61	4	-	44
62	39	-	29
63	40	-	77
64	40	-	46
65	41	-	42
66	42	+	158
67	42	+	160
68	42	+	162
69	42	+	164
70	42	+	166
71	42	+	168
72	42	+	170
73	42	+	234
74	42	+	235
75	43	-	45
76	44	-	60
77	44	-	61
78	45	+	44
79	46	+	50
80	46	+	52
81	46	+	54
82	48	+	54
83	48	+	56
84	48	+	58
85	49	-	110
86	49	-	111
87	49	-	97
88	49	-	84
89	49	-	86
