POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	32
1	2	+	40
2	2	+	42
3	3	+	36
4	5	-	32
5	7	-	76
6	7	-	89
7	7	-	80
8	7	-	82
9	12	-	30
10	12	-	32
11	15	-	30
12	4	-	46
13	16	+	60
14	16	+	62
15	16	+	64
16	17	+	40
17	17	+	42
18	18	+	127
19	19	-	36
20	21	-	32
21	23	+	58
22	23	+	60
23	23	+	62
24	23	+	64
25	23	+	66
26	23	+	68
27	23	+	70
28	23	+	72
29	24	-	74
30	24	-	76
31	26	+	48
32	27	-	48
33	28	+	42
34	28	+	44
35	28	+	46
36	28	+	50
37	30	-	42
38	30	-	52
39	30	-	58
40	33	+	92
41	33	+	100
42	33	+	101
43	33	+	96
44	34	+	28
45	35	-	62
46	35	-	64
47	36	-	94
48	36	-	96
49	36	-	137
50	36	-	138
51	36	-	127
52	36	-	102
53	36	-	104
54	36	-	132
55	37	+	64
56	37	+	66
57	38	-	38
58	40	-	48
59	40	-	74
60	40	-	58
61	40	-	76
62	42	+	174
63	42	+	176
64	42	+	178
65	42	+	180
66	43	-	38
67	43	-	40
68	43	-	42
69	44	-	38
70	44	-	40
71	44	-	42
72	45	+	46
73	46	+	56
74	41	-	44
75	46	+	58
76	48	+	60
77	48	+	62
78	48	+	64
79	49	-	88
80	49	-	90
