POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	25
1	2	+	45
2	3	+	27
3	5	-	27
4	6	+	25
5	7	-	57
6	7	-	92
7	7	-	93
8	7	-	61
9	7	-	67
10	7	-	65
11	9	-	29
12	9	-	31
13	10	-	30
14	10	-	31
15	13	-	45
16	13	-	47
17	13	-	49
18	15	-	26
19	15	-	27
20	16	+	41
21	16	+	43
22	16	+	74
23	16	+	75
24	17	+	35
25	21	-	23
26	21	-	25
27	23	+	57
28	44	-	44
29	24	-	66
30	24	-	53
31	24	-	82
32	24	-	83
33	24	-	57
34	24	-	59
35	24	-	61
36	25	-	53
37	25	-	55
38	25	-	57
39	25	-	59
40	26	+	33
41	27	-	37
42	28	+	33
43	29	-	25
44	29	-	27
45	30	-	35
46	33	+	77
47	33	+	79
48	35	-	61
49	35	-	43
50	36	-	73
51	36	-	75
52	36	-	77
53	37	+	49
54	37	+	51
55	37	+	53
56	37	+	55
57	38	-	33
58	39	-	17
59	40	-	35
60	40	-	37
61	41	-	33
62	41	-	35
63	41	-	37
64	41	-	39
65	42	+	123
66	42	+	127
67	42	+	129
68	42	+	131
69	42	+	133
70	42	+	135
71	42	+	137
72	43	-	33
73	45	+	41
74	45	+	37
75	4	-	33
76	46	+	41
77	48	+	68
78	48	+	69
79	48	+	45
80	49	-	67
81	49	-	69
82	49	-	73
83	49	-	75
84	50	-	25
85	50	-	27
86	50	-	29
