POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	35
1	3	+	41
2	3	+	66
3	3	+	67
4	5	-	37
5	6	+	38
6	7	-	109
7	9	-	43
8	10	-	37
9	12	-	35
10	13	-	65
11	13	-	82
12	13	-	77
13	15	-	50
14	15	-	51
15	16	+	71
16	16	+	73
17	17	+	50
18	17	+	51
19	18	+	105
20	18	+	135
21	18	+	109
22	18	+	156
23	18	+	129
24	30	-	68
25	30	-	69
26	50	-	37
27	18	+	115
28	18	+	117
29	19	-	52
30	19	-	53
31	19	-	41
32	23	+	90
33	24	-	85
34	24	-	87
35	24	-	108
36	24	-	109
37	24	-	91
38	25	-	79
39	25	-	81
40	25	-	83
41	25	-	85
42	26	+	51
43	26	+	53
44	27	-	55
45	27	-	57
46	27	-	72
47	28	+	59
48	29	-	35
49	32	+	21
50	33	+	109
51	33	+	145
52	34	+	32
53	35	-	69
54	35	-	71
55	36	-	113
56	36	-	115
57	37	+	73
58	37	+	75
59	4	-	51
60	39	-	28
61	40	-	63
62	40	-	65
63	42	+	224
64	42	+	266
65	42	+	267
66	42	+	273
67	42	+	191
68	42	+	193
69	42	+	195
70	42	+	197
71	42	+	237
72	42	+	201
73	42	+	203
74	43	-	61
75	44	-	51
76	45	+	51
77	46	+	61
78	46	+	63
79	46	+	65
80	48	+	73
81	48	+	75
82	48	+	84
83	49	-	95
