POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	44
1	3	+	58
2	3	+	68
3	3	+	69
4	3	+	62
5	3	+	64
6	5	-	55
7	5	-	47
8	6	+	36
9	7	-	118
10	9	-	56
11	9	-	58
12	9	-	60
13	10	-	49
14	12	-	40
15	13	-	86
16	13	-	88
17	13	-	90
18	15	-	48
19	16	+	94
20	16	+	96
21	18	+	140
22	18	+	142
23	18	+	144
24	18	+	146
25	18	+	148
26	18	+	150
27	30	-	66
28	18	+	152
29	18	+	154
30	19	-	46
31	19	-	48
32	23	+	108
33	24	-	122
34	24	-	158
35	24	-	159
36	24	-	126
37	24	-	128
38	25	-	102
39	25	-	104
40	25	-	106
41	25	-	108
42	26	+	66
43	26	+	80
44	26	+	81
45	27	-	75
46	27	-	70
47	28	+	82
48	28	+	84
49	29	-	42
50	32	+	26
51	32	+	27
52	33	+	134
53	33	+	136
54	33	+	138
55	34	+	38
56	35	-	84
57	35	-	86
58	36	-	162
59	36	-	163
60	36	-	158
61	36	-	160
62	37	+	98
63	4	-	62
64	4	-	64
65	4	-	66
66	39	-	30
67	39	-	32
68	40	-	90
69	42	+	250
70	42	+	270
71	42	+	271
72	42	+	274
73	42	+	275
74	42	+	256
75	42	+	258
76	42	+	260
77	42	+	262
78	42	+	264
79	43	-	70
80	43	-	72
81	44	-	68
82	44	-	84
83	44	-	85
84	45	+	70
85	46	+	76
86	46	+	78
87	46	+	80
88	48	+	94
89	48	+	96
90	49	-	138
