POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	33
1	2	+	41
2	2	+	54
3	2	+	58
4	2	+	59
5	3	+	37
6	5	-	33
7	7	-	120
8	7	-	121
9	7	-	81
10	7	-	83
11	7	-	132
12	7	-	133
13	12	-	54
14	12	-	55
15	12	-	43
16	15	-	31
17	4	-	72
18	4	-	73
19	16	+	116
20	16	+	117
21	16	+	65
22	17	+	41
23	17	+	44
24	17	+	45
25	18	+	96
26	18	+	97
27	21	-	27
28	23	+	61
29	23	+	63
30	23	+	65
31	23	+	118
32	23	+	119
33	23	+	74
34	23	+	75
35	23	+	77
36	23	+	73
37	24	-	75
38	24	-	77
39	25	-	77
40	26	+	49
41	27	-	49
42	28	+	70
43	28	+	72
44	28	+	73
45	28	+	45
46	28	+	47
47	28	+	62
48	28	+	63
49	28	+	56
50	28	+	57
51	30	-	59
52	30	-	45
53	33	+	142
54	33	+	164
55	33	+	165
56	33	+	95
57	33	+	140
58	33	+	141
59	34	+	29
60	35	-	63
61	35	-	65
62	36	-	95
63	36	-	99
64	36	-	101
65	36	-	166
66	36	-	167
67	36	-	165
68	36	-	105
69	36	-	136
70	37	+	100
71	37	+	101
72	37	+	67
73	38	-	39
74	40	-	49
75	40	-	98
76	40	-	99
77	40	-	53
78	42	+	175
79	42	+	177
80	42	+	179
81	42	+	181
82	43	-	44
83	43	-	41
84	43	-	43
85	44	-	39
86	44	-	58
87	44	-	43
88	45	+	47
89	46	+	84
90	46	+	85
91	41	-	45
92	46	+	94
93	48	+	63
94	48	+	65
95	49	-	89
