TIME	EVENT	NODES
0	O	Root
2.0867922777039536	D	Root;1;Root;2;Root;3
7.947966360138864	D	Root;3;Root;4;Root;5
17.48041262550099	S	Root;2;n1;6;n2;7
17.48041262550099	S	Root;4;n1;8;n2;9
17.48041262550099	S	Root;5;n1;10;n2;11
20.0712906575407	S	n2;7;n3;12;n4;13
20.0712906575407	S	n2;9;n3;14;n4;15
20.0712906575407	S	n2;11;n3;16;n4;17
21.424798762990385	D	n3;14;n3;18;n3;19
23.623252967945383	S	n1;6;n5;20;n6;21
23.623252967945383	S	n1;8;n5;22;n6;23
23.623252967945383	S	n1;10;n5;24;n6;25
24.93069205119209	D	n4;15;n4;26;n4;27
25.566793612113866	D	n3;16;n3;28;n3;29
26.056045124566126	D	n3;29;n3;30;n3;31
27.487822499537366	E	n3;12
27.487822499537366	E	n3;18
27.487822499537366	E	n3;19
27.487822499537366	E	n3;28
27.487822499537366	E	n3;30
27.487822499537366	E	n3;31
28.25208337168313	S	n5;20;n7;32;n8;33
28.25208337168313	S	n5;22;n7;34;n8;35
28.25208337168313	S	n5;24;n7;36;n8;37
28.69191623636157	D	n4;26;n4;38;n4;39
31.539863128050797	E	n6;21
31.539863128050797	E	n6;23
31.539863128050797	E	n6;25
33.77417403435229	D	n7;32;n7;40;n7;41
33.85041944564136	S	n8;33;n9;42;n10;43
33.85041944564136	S	n8;35;n9;44;n10;45
33.85041944564136	S	n8;37;n9;46;n10;47
35.16208754597993	D	n9;42;n9;48;n9;49
35.69449990392345	S	n9;48;n11;50;n12;51
35.69449990392345	S	n9;49;n11;52;n12;53
35.69449990392345	S	n9;44;n11;54;n12;55
35.69449990392345	S	n9;46;n11;56;n12;57
35.80958368897179	S	n11;50;n13;58;n14;59
35.80958368897179	S	n11;52;n13;60;n14;61
35.80958368897179	S	n11;54;n13;62;n14;63
35.80958368897179	S	n11;56;n13;64;n14;65
35.84003308740881	E	n14;59
35.84003308740881	E	n14;61
35.84003308740881	E	n14;63
35.84003308740881	E	n14;65
37.32855589735317	D	n7;40;n7;66;n7;67
38.54986279293639	D	n12;55;n12;68;n12;69
39.75177169185255	D	n7;66;n7;70;n7;71
40.698241991707555	L	n4;17
41.20061611946893	E	n12;51
