Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_008	T008	13	1	1	4.54744	2.02742	2.93216	(((12_2_0:0.07147558,((13_2_0:0.03637092,14_2_0:0.00032340):0.04753975,15_2_0:0.05041358):0.00317620):0.94617882,(12_0_0:0.23535361,15_0_0:0.20962463):0.30797102):0.99415193,((6_0_0:0.01249234,4_0_0:0.02540948):0.56579708,(10_0_0:0.13407681,((3_1_0:0.01864982,7_1_0:0.03998869):0.03409424,(3_0_0:0.00756728,7_0_0:0.01624953):0.01741684):0.00246088):0.76550876):0.00515329);

dataset_009	T009	15	1	1	2.74622	0.668707	1.16108	(((8_0_0:0.05477029,2_0_0:0.03437342):0.07649042,(4_0_0:0.00732446,6_0_0:0.01106927):0.14264007):0.33866181,(((10_0_0:0.03169123,(3_0_0:0.00864692,7_0_0:0.02804883):0.02285163):0.06158301,(9_0_0:0.18350669,11_0_0:0.04897488):0.24838115):0.07345595,((11_2_0:0.03279780,9_2_0:0.09041071):0.22093032,((11_4_0:0.02254052,(9_4_0:0.05322996,9_5_0:0.07175214):0.12294346):0.14182404,9_3_0:0.29986398):0.02601173):0.12808381):0.16336315);

dataset_010	T010	15	1	1	0.891129	0.351967	0.524453	((((8_0_0:0.01774107,((1_0_0:0.01312713,5_0_0:0.00636972):0.01071643,(14_4_0:0.00193318,13_4_0:0.02425462):0.01073519):0.00317002):0.01332558,2_0_0:0.03216280):0.08586419,(6_0_0:0.00621702,4_0_0:0.00525167):0.04379210):0.03513642,((15_0_0:0.11254036,((14_3_0:0.00141907,13_3_0:0.01630670):0.02982761,(13_0_0:0.02101164,14_0_0:0.00129127):0.03014651):0.02852882):0.00215890,(12_2_0:0.00570571,12_0_0:0.01135077):0.08377696):0.23726794);

dataset_011	T011	38	1	1	5.93306	1.08034	1.96198	(((((2_7_0:0.06462886,((8_7_0:0.00593063,5_10_0:0.01144849):0.00624121,(1_7_0:0.04422436,5_7_0:0.00308042):0.07475074):0.06171835):0.10104238,(6_8_0:0.03340512,4_8_0:0.01028626):0.08791926):0.04479371,((4_4_0:0.01355825,6_4_0:0.02362035):0.06016633,((5_8_0:0.00485795,1_8_0:0.02831007):0.04163110,2_8_0:0.08831903):0.19829462):0.02853269):0.14012908,((((2_0_0:0.00369579,2_13_0:0.01850875):0.11303136,(((5_0_0:0.01510858,1_0_0:0.01935370):0.07914093,8_0_0:0.04988225):0.02927186,(3_1_0:0.02218199,7_1_0:0.01565508):0.04679892):0.00186345):0.37134972,10_1_0:0.09257415):0.45456996,(((1_10_0:0.03778282,8_10_0:0.11308051):0.00249316,2_10_0:0.04995644):0.36115397,(9_1_0:0.03018199,11_1_0:0.06937691):0.06747144):0.02118170):0.11474827):0.00812789,(((8_9_0:0.03039456,(1_9_0:0.07787013,5_9_0:0.00897479):0.05781611):0.22202481,(6_9_0:0.01328085,4_9_0:0.02194212):0.54751151):0.02643442,((((5_6_0:0.02000659,1_6_0:0.06076524):0.02625832,(1_11_0:0.00585856,5_11_0:0.01669924):0.05523289):0.00123416,(8_12_0:0.03681446,8_6_0:0.00759554):0.11130380):0.30267424,(6_6_0:0.04380798,4_6_0:0.01529679):0.48692105):0.11560839):0.23530456);

dataset_012	T012	8	1	1	1.36347	0.625539	0.927379	((14_0_0:0.00489094,13_0_0:0.02666893):0.27517155,(((13_1_0:0.06412720,14_1_0:0.00344638):0.06884502,(15_1_0:0.11354555,12_0_0:0.02287414):0.23987591):0.01010066,(12_1_0:0.17007990,15_0_0:0.03911519):0.06270946):0.26201644);

dataset_013	T013	12	1	1	2.52391	0.880638	1.54895	(((10_2_0:0.19448639,(10_0_0:0.26711191,((7_0_0:0.00690318,3_0_0:0.01443839):0.00106964,(6_3_0:0.01595295,4_3_0:0.01769890):0.04158737):0.02566933):0.04201975):0.15442817,(2_3_0:0.04512223,(4_0_0:0.01136821,6_0_0:0.02822960):0.03065727):0.40785250):0.20156986,((4_4_0:0.00703666,6_4_0:0.02294781):0.10712468,11_0_0:0.70548007):0.17515784);

dataset_014	T014	12	1	1	1.46985	0.513732	0.949991	((((12_2_0:0.01516463,(14_2_0:0.00339577,13_2_0:0.01683738):0.13188053):0.04582158,15_2_0:0.02930335):0.02693657,(12_0_0:0.10785230,(15_0_0:0.01926378,(14_0_0:0.00079566,13_0_0:0.00462930):0.19214105):0.00283487):0.12181387):0.11484042,(12_1_0:0.00119513,((13_1_0:0.08659330,14_1_0:0.00043325):0.18192211,15_1_0:0.12098372):0.00289821):0.24231812);

dataset_015	T015	29	1	1	4.86221	1.56996	2.22136	((12_0_0:0.23284972,(15_0_0:0.10707810,(14_0_0:0.00228144,13_0_0:0.01702541):0.07184881):0.00468808):1.33711102,(((((3_2_0:0.01258452,3_0_0:0.00981325):0.00704955,7_0_0:0.02104521):0.02686864,10_0_0:0.05783432):0.13520128,(9_0_0:0.08221245,11_0_0:0.03116316):0.12946508):0.26691519,((((8_6_0:0.02555193,(5_6_0:0.01007222,1_6_0:0.03691962):0.02340533):0.17773178,(6_6_0:0.00916107,4_6_0:0.00706190):0.16585045):0.09257227,((6_0_0:0.00807124,4_0_0:0.00617460):0.05861345,((8_0_0:0.02558200,(5_0_0:0.00665968,1_0_0:0.01676826):0.02497575):0.01524810,2_0_0:0.04508670):0.21419740):0.13031121):0.23347331,(((6_3_0:0.01084124,4_3_0:0.01531002):0.13466707,(6_7_0:0.01309450,4_7_0:0.01675412):0.08119700):0.01697970,(2_3_0:0.06080488,(8_3_0:0.03899684,(1_3_0:0.02914695,5_3_0:0.00948691):0.01809303):0.02598550):0.02563887):0.46226809):0.00752125):0.00890356);

dataset_016	T016	10	1	1	0.987468	0.369505	0.681978	(((6_2_0:0.01739187,4_2_0:0.01472978):0.04638089,2_4_0:0.00837725):0.30573192,((8_4_0:0.04397283,((8_6_0:0.08003523,1_6_0:0.08405074):0.01358154,2_6_0:0.02440307):0.00799764):0.01361556,((5_5_0:0.02074244,8_5_0:0.02829030):0.02836100,1_5_0:0.01847588):0.03810256):0.19322772);

dataset_017	T017	16	1	1	1.21772	0.330484	0.606713	(((6_0_0:0.00787086,4_0_0:0.00480954):0.09111376,(15_0_0:0.13396784,(13_0_0:0.01684810,14_0_0:0.00156687):0.05280200):0.04650619):0.15000968,(((((1_0_0:0.01801212,5_0_0:0.00509499):0.01537728,8_0_0:0.03812304):0.01471299,2_0_0:0.02023263):0.08392675,(10_0_0:0.05559245,(7_0_0:0.01707314,3_0_0:0.00551845):0.02695372):0.06175625):0.01721691,((9_1_0:0.02259445,9_0_0:0.01463961):0.04815309,(12_0_0:0.00834004,11_0_0:0.00277098):0.03065267):0.14629026):0.05919192);

dataset_018	T018	19	1	1	2.86239	0.896421	1.4518	((12_0_0:0.10200719,((13_0_0:0.03165920,14_0_0:0.00183709):0.05065305,15_0_0:0.08735410):0.00304943):0.79441413,(((11_0_0:0.07998507,9_0_0:0.05460583):0.21485658,((11_1_0:0.07248163,9_1_0:0.06084942):0.36682423,(10_1_0:0.05600118,(3_1_0:0.01929400,7_1_0:0.02599362):0.01360366):0.12649844):0.01414370):0.00607531,(((4_3_0:0.00284820,6_3_0:0.00933499):0.06799401,(4_0_0:0.01753660,6_0_0:0.00701672):0.07938663):0.07943626,(2_0_0:0.01138049,((1_0_0:0.02654861,5_0_0:0.00708263):0.00610671,8_0_0:0.03531789):0.02533797):0.14121173):0.06781092):0.09585744);

dataset_019	T019	38	1	1	13.2646	4.87722	7.73926	((((7_3_0:0.01851425,7_1_0:0.01804286):0.02515733,10_1_0:0.01085008):0.01263950,((3_2_0:0.00112474,7_2_0:0.00668349):0.00958317,10_2_0:0.11924744):0.00328631):0.10770300,((((((4_8_0:0.04280564,6_8_0:0.02822693):1.92564877,(8_16_0:0.09757659,(5_17_0:0.00639772,8_17_0:0.00590760):0.04541011):0.25423114):0.01577033,(4_7_0:0.00029065,6_7_0:0.00094392):0.98890166):0.17201265,(((1_16_0:0.01625290,5_16_0:0.00882193):0.00470667,(2_18_0:0.01049261,2_19_0:0.00020488):0.00014788):0.01426795,(8_6_0:0.00471676,(5_6_0:0.00766208,1_6_0:0.00900059):0.01441635):0.03067300):4.65215176):0.03626932,(((((6_12_0:0.00318792,6_14_0:0.02416366):0.00215566,4_12_0:0.00004592):0.30718762,(2_16_0:0.00605097,11_1_0:0.00635216):0.00744684):0.00178717,(4_9_0:0.00343362,6_9_0:0.00338209):0.02017467):0.02279823,((2_9_0:0.01841976,(8_9_0:0.00000324,1_9_0:0.05220035):0.07675232):0.06062268,(((1_15_0:0.00003271,5_15_0:0.00378134):0.01641112,8_15_0:0.02815518):0.00436974,2_15_0:0.09729392):0.01341967):0.10310195):0.51957604):0.01224521,((4_11_0:0.00009985,6_11_0:0.00001143):0.01402207,(4_0_0:0.09292773,6_0_0:0.00221305):0.01383707):2.87773942):0.12246442);

dataset_020	T020	22	1	1	4.78278	1.23425	2.15646	(((7_0_0:0.03438641,3_0_0:0.02753545):0.01957016,10_0_0:0.13536505):0.78683974,((((6_2_0:0.01338498,4_2_0:0.01493031):0.40369937,(5_2_0:0.04688080,8_2_0:0.02666921):0.14546314):0.07197388,((((5_0_0:0.00811295,1_0_0:0.02062064):0.02015770,(8_0_0:0.00536456,11_0_0:0.00463328):0.02206869):0.04272483,2_0_0:0.02900038):0.13209836,((6_0_0:0.02232761,4_0_0:0.01490862):0.13131936,(2_3_0:0.06338662,(8_3_0:0.04289762,1_3_0:0.07231300):0.04216183):0.06795341):0.01851899):0.18787405):0.21733958,(9_1_0:0.63982453,(((7_1_0:0.03867089,3_1_0:0.02196794):0.02456931,10_1_0:0.17893016):0.05158575,9_0_0:0.18120634):0.15911819):0.45007654):0.14435232);

dataset_021	T021	14	1	1	1.75754	0.710167	1.31002	(((((15_1_0:0.00247341,9_0_0:0.00314861):0.13679097,(11_0_0:0.00899090,10_0_0:0.00440575):0.01950961):0.29727430,7_0_0:0.09074595):0.03113483,(2_0_0:0.03199633,(8_0_0:0.05376988,(12_0_0:0.02343694,(1_0_0:0.02225556,5_0_0:0.00259617):0.00553138):0.00849712):0.01653320):0.10989843):0.24181826,((15_0_0:0.00687423,3_0_0:0.00407624):0.14044675,(14_0_0:0.00225568,13_0_0:0.00949994):0.03104466):0.45253255);

dataset_022	T022	5	1	1	0.39012	0.15428	0.254982	((12_4_0:0.05629476,12_5_0:0.04966852):0.09798522,(15_4_0:0.08180984,(13_4_0:0.02266411,14_4_0:0.00365902):0.07339016):0.00464793);

dataset_023	T023	21	1	1	3.17794	1.02403	1.98834	((15_0_0:0.23834421,(14_0_0:0.00078473,13_0_0:0.08312177):0.05971069):0.72596183,(((11_0_0:0.03847020,11_3_0:0.00016913):0.20706298,(((11_2_0:0.00275987,9_2_0:0.03025331):0.43929573,(10_5_0:0.01251450,(7_5_0:0.00073627,3_5_0:0.00375874):0.02758302):0.02059752):0.36088882,((7_0_0:0.09450287,3_0_0:0.00594053):0.07266260,10_0_0:0.01189832):0.02541110):0.00074922):0.12878990,((9_0_0:0.03039276,9_1_0:0.06008161):0.00761996,((7_6_0:0.06407418,(3_6_0:0.00311946,10_6_0:0.00001728):0.00102302):0.02526610,((3_1_0:0.00900969,7_1_0:0.01011781):0.03172500,10_1_0:0.13688995):0.06906964):0.04085235):0.03265668):0.06405687);

dataset_024	T024	17	1	1	5.42627	1.4031	2.6676	(((((7_0_0:0.02379050,(6_2_0:0.01401153,4_2_0:0.07359417):0.01396177):0.20701463,(11_0_0:0.16551288,9_0_0:0.33847392):0.14590946):0.14617208,((5_0_0:0.06282107,8_0_0:0.03899028):0.08559104,2_0_0:0.11519853):0.64385693):0.56480625,(((8_1_0:0.14451846,(1_1_0:0.09148153,5_1_0:0.03041158):0.04848734):0.01411229,2_1_0:0.15495260):0.31710471,((15_3_0:0.38085064,(13_3_0:0.02695188,14_3_0:0.00709720):0.06920089):0.00458356,12_3_0:0.21604495):0.08389252):0.83478826):0.04601991,3_0_0:0.31606540);

dataset_025	T025	20	1	1	7.36379	2.37284	3.47622	(((((7_3_0:0.08352020,10_3_0:0.10819895):0.12231538,10_0_0:0.22005877):0.08929113,(11_0_0:0.18858995,9_0_0:0.17031874):0.35909571):0.15393572,(((3_2_0:0.01355688,7_2_0:0.06051157):0.04702626,10_2_0:0.19498410):0.29961494,(9_2_0:0.09107890,11_2_0:0.11272089):0.26653045):0.26510046):0.34367990,(((6_0_0:0.02857715,4_0_0:0.01810206):0.62089186,(((1_0_0:0.06204766,5_0_0:0.01474816):0.04764942,8_0_0:0.06769723):0.03531368,2_0_0:0.04190924):0.26427620):0.26381557,((15_0_0:0.24465313,(13_0_0:0.02887301,14_0_0:0.00527878):0.11102681):0.00522204,12_0_0:0.19061290):1.10757640):1.01538892);

dataset_026	T026	13	1	1	1.38725	0.650309	1.05996	((2_0_0:0.02174796,((5_0_0:0.00662489,1_0_0:0.03911564):0.02175508,8_0_0:0.02848471):0.01371491):0.33506775,(((10_2_0:0.03706451,10_0_0:0.02564541):0.00093692,(3_0_0:0.00870803,(7_0_0:0.03156084,7_1_0:0.02415616):0.00687576):0.01904146):0.04340852,((6_0_0:0.00797644,4_0_0:0.00414519):0.03459475,(11_0_0:0.02631413,9_0_0:0.07564658):0.01339553):0.16116557):0.40010140);

dataset_027	T027	11	1	1	1.10429	0.338214	0.588351	((9_0_0:0.10321900,11_0_0:0.01364993):0.14691836,(((7_0_0:0.02277354,3_0_0:0.01983329):0.01909625,10_0_0:0.07932831):0.22720894,(((14_0_0:0.00119722,13_0_0:0.01391680):0.07406722,15_0_0:0.06142941):0.05805325,((14_1_0:0.00280309,13_1_0:0.04406263):0.08035660,15_1_0:0.05367032):0.03544845):0.01557916):0.03167645);

