TIME	EVENT	NODES
19.225877255489173	D	18_52;18_56;18_57
19.52632496056685	D	26_26;26_28;26_29
19.541834997338018	LT	n15;37_42;n15;37_46;n16;37_47
19.952381141888356	L	26_28
20.11045803438091	D	35_34;35_38;35_39
20.15126387628622	L	18_50
20.331927180704607	L	23_40
20.331927180704607	AT	n12;23_27;n12;23_44;n15;23_45
20.360842870536594	D	30_30;30_32;30_33
20.604360346249905	LT	n15;42_108;n15;42_118;n16;42_119
20.98114487501128	L	45_26
20.98114487501128	AT	n11;45_14;n11;45_30;n15;45_31
21.06166490830914	LT	n15;30_33;n15;30_36;n2;30_37
21.402658590551255	LT	n15;45_31;n15;45_40;n18;45_41
21.753020090825753	LT	n15;42_110;n15;42_156;n19;42_157
22.083722363040742	LT	n15;35_36;n15;35_58;n21;35_59
22.452781514538557	L	33_70
22.540196773743727	L	33_72
22.540196773743727	AT	n24;33_97;n24;33_98;n15;33_99
22.56536881880997	LT	n15;30_36;n15;30_46;n17;30_47
22.734126577322613	L	18_56
22.758462029361226	D	15_18;15_32;15_33
22.81846919030179	LT	n15;42_104;n15;42_182;n22;42_183
22.83905099167791	D	9_24;9_40;9_41
22.97436806394559	D	18_54;18_98;18_99
23.236959601824342	D	43_26;43_46;43_47
23.347293036742396	LT	n15;42_114;n15;42_184;n20;42_185
23.562445054859552	D	18_98;18_102;18_103
23.836093123436857	D	42_118;42_186;42_187
24.089048937504764	AT	n23;21_26;n23;21_32;n15;21_33
24.123205687466424	L	49_54
24.15509812594317	L	5_24
24.15509812594317	AT	n20;5_29;n20;5_40;n15;5_41
24.23161847660099	L	42_106
24.332367690785855	L	33_74
24.332367690785855	AT	n27;33_118;n27;33_120;n15;33_121
24.3676641773561	L	9_41
24.384363077391352	D	3_22;3_48;3_49
24.516450701251763	L	37_46
24.516450701251763	AT	n25;37_72;n25;37_86;n15;37_87
24.640454256151887	LT	n15;18_99;n15;18_118;n20;18_119
24.712236234104196	D	36_70;36_124;36_125
25.335686851484	L	43_47
25.66856388337636	L	46_34
26.004174469815354	LT	n15;42_184;n15;42_226;n28;42_227
26.05977791942025	D	43_46;43_58;43_59
26.274003153649602	D	35_58;35_76;35_77
26.522853665142414	L	24_46
26.522853665142414	AT	n28;24_97;n28;24_110;n15;24_111
26.56034796130615	LT	n15;42_182;n15;42_230;n12;42_231
26.78828973154583	LT	n15;42_156;n15;42_232;n20;42_233
26.937683878314477	L	27_32
26.937683878314477	AT	n27;27_60;n27;27_64;n15;27_65
27.312685571285268	L	41_30
27.312685571285268	AT	n27;41_52;n27;41_56;n15;41_57
27.429164705645057	L	4_28
27.429164705645057	AT	n17;4_32;n17;4_58;n15;4_59
27.541805894783227	L	1_22
27.832562767075533	L	23_45
27.861890955778016	D	46_36;46_74;46_75
27.936128402993255	L	18_118
27.936128402993255	AT	n26;18_111;n26;18_156;n15;18_157
27.93728020643016	AT	n12;23_56;n12;23_110;n15;23_111
27.99862726244219	D	24_48;24_130;24_131
28.047714900528934	L	24_130
28.25049522302871	L	19_20
28.355301455441477	L	18_102
28.603986230123894	L	24_111
28.82555380434621	L	17_30
28.82555380434621	AT	n2;17_16;n2;17_58;n15;17_59
28.917826224229643	LT	n15;13_42;n15;13_94;n12;13_95
29.015483372431312	D	48_34;48_100;48_101
29.094121783756595	LT	n15;48_101;n15;48_102;n29;48_103
29.721420271269317	D	35_77;35_102;35_103
30.057385512752358	L	44_30
30.06427372497527	D	30_46;30_84;30_85
30.07249087202668	D	9_40;9_72;9_73
30.187266129117386	L	42_112
30.187266129117386	AT	n12;42_103;n12;42_328;n15;42_329
30.306406662745776	D	42_329;42_332;42_333
