TIME	EVENT	NODES
22.540196773743727	LT	n24;33_97;n24;33_98;n15;33_99
22.638814336228275	D	23_69;23_74;23_75
22.722971174752132	D	18_95;18_96;18_97
22.985016365476014	LT	n24;43_39;n24;43_44;n21;43_45
23.159145404177824	LT	n24;33_93;n24;33_102;n2;33_103
23.400949879189607	D	23_71;23_76;23_77
23.448096072258128	D	17_43;17_44;17_45
23.583679483944493	L	16_59
23.682759578167644	D	28_51;28_56;28_57
23.898511373010745	L	7_85
24.087431922780784	L	23_76
24.14664505588979	LT	n24;16_61;n24;16_84;n2;16_85
24.26219601377872	L	33_98
24.26219601377872	AT	n27;33_114;n27;33_118;n24;33_119
24.361908534477106	L	48_61
24.440648776692377	D	28_49;28_62;28_63
24.445850336464606	LT	n24;28_43;n24;28_64;n17;28_65
24.798889168489378	L	49_91
24.89555242455975	L	37_65
24.89555242455975	AT	n17;37_54;n17;37_88;n24;37_89
25.132570529523903	L	16_63
25.891120664532853	L	23_59
26.199077064179736	L	30_43
26.199077064179736	AT	n23;30_53;n23;30_58;n24;30_59
26.527083064809016	L	36_97
26.904420961012615	LT	n24;36_107;n24;36_136;n23;36_137
27.373189486487053	LT	n24;44_41;n24;44_58;n17;44_59
27.39962989887695	D	28_64;28_70;28_71
27.467029422515623	D	28_71;28_72;28_73
28.186566579854983	L	12_33
28.186566579854983	AT	n2;12_3;n2;12_42;n24;12_43
28.205576024749323	D	7_77;7_120;7_121
28.405556741210642	L	7_79
28.426496086035794	D	37_89;37_100;37_101
28.521988629255787	D	33_119;33_140;33_141
28.782111249634752	D	46_57;46_84;46_85
28.79849616841226	D	33_102;33_142;33_143
28.85979453529636	D	2_43;2_54;2_55
29.016054709869714	D	2_55;2_58;2_59
29.159903488718417	D	4_47;4_72;4_73
29.23171318237516	D	36_103;36_164;36_165
29.280213352048442	D	23_67;23_118;23_119
29.416616231134935	D	36_164;36_166;36_167
29.555108705152065	LT	n24;46_59;n24;46_94;n27;46_95
29.600728255600117	L	19_37
29.62185750734145	D	40_51;40_98;40_99
29.676012543794666	D	7_87;7_132;7_133
29.739144966780746	L	10_33
29.79091942658119	LT	n24;12_31;n24;12_52;n32;12_53
29.873754490659348	D	12_52;12_54;12_55
30.273375595755397	D	16_84;16_116;16_117
30.382506308030802	D	33_143;33_164;33_165
