TIME	EVENT	NODES
4.194095210882231	L	22_3
4.3593338721279125	L	19_3
4.3593338721279125	AT	n1;19_2;n1;19_4;n2;19_5
4.683598655755724	L	26_3
4.775832007784153	LT	n2;33_9;n2;33_12;n1;33_13
4.820424134823864	L	9_3
4.820424134823864	AT	n1;9_2;n1;9_4;n2;9_5
5.021788042182775	D	33_12;33_20;33_21
6.32842464208008	L	27_3
6.32842464208008	AT	n3;27_4;n3;27_6;n2;27_7
6.402970934051278	D	1_3;1_8;1_9
6.710455319768883	LT	n2;33_20;n2;33_30;n5;33_31
6.794065846947207	D	38_3;38_10;38_11
6.875680704568281	D	38_11;38_12;38_13
7.082574299064997	L	19_5
7.1227065564017735	D	29_3;29_8;29_9
7.372299416273965	L	2_5
7.594490491796458	D	4_3;4_6;4_7
7.684674532742853	L	24_3
7.7443877788252955	D	45_3;45_10;45_11
8.242881319888307	L	2_7
8.242881319888307	AT	n5;2_14;n5;2_20;n2;2_21
8.406471686409414	LT	n2;4_6;n2;4_8;n9;4_9
8.46586141036396	LT	n2;13_7;n2;13_24;n9;13_25
8.64333003470683	L	29_9
9.019985194786086	L	50_3
9.560418061976128	L	23_3
9.569354348065916	LT	n2;46_3;n2;46_14;n10;46_15
9.672763783262631	D	49_5;49_26;49_27
9.785507213248641	L	33_11
9.842255319388194	D	28_3;28_16;28_17
9.893280623985426	LT	n2;36_7;n2;36_32;n3;36_33
10.124794328964281	D	46_14;46_16;46_17
10.331525557371991	D	16_3;16_12;16_13
10.387345902114257	D	27_7;27_22;27_23
10.770693272248877	D	10_3;10_12;10_13
10.80687358408375	D	15_3;15_12;15_13
10.990938143263747	D	49_26;49_28;49_29
11.147679126796488	D	7_3;7_22;7_23
11.165893563737988	L	33_30
11.165893563737988	AT	n10;33_45;n10;33_50;n2;33_51
11.302084896648838	LT	n2;4_7;n2;4_16;n5;4_17
12.115031218969877	D	18_3;18_16;18_17
12.25347342663824	D	17_3;17_16;17_17
12.362961970595778	D	5_3;5_14;5_15
12.640522524893967	D	6_3;6_14;6_15
12.701375791625802	L	36_5
12.838912870640891	D	5_14;5_16;5_17
12.953777120965913	LT	n2;38_12;n2;38_20;n5;38_21
13.519370112461246	D	7_23;7_34;7_35
13.877780788438315	D	16_13;16_16;16_17
13.906449358022176	D	38_10;38_24;38_25
13.932012094127934	D	37_3;37_30;37_31
13.949847654447119	D	36_32;36_42;36_43
13.972560422482836	D	36_42;36_44;36_45
14.331721708084418	D	17_17;17_22;17_23
14.385740628178356	D	33_7;33_58;33_59
14.407567212939016	L	13_24
14.413654128332928	L	25_3
14.413654128332928	AT	n11;25_22;n11;25_26;n2;25_27
14.544656969999389	LT	n2;6_14;n2;6_16;n11;6_17
14.855788517960361	D	16_16;16_20;16_21
15.039586822498249	D	41_3;41_18;41_19
15.123607608987449	D	1_8;1_16;1_17
15.167724302999913	L	4_8
15.229857924339004	L	43_3
15.229857924339004	AT	n11;43_14;n11;43_18;n2;43_19
15.371333667278078	D	18_16;18_36;18_37
16.0667186956972	LT	n2;38_13;n2;38_26;n3;38_27
16.3454403085186	D	42_9;42_82;42_83
16.496273066858045	LT	n2;5_16;n2;5_20;n11;5_21
16.524313090669203	L	40_3
16.524313090669203	AT	n10;40_21;n10;40_24;n2;40_25
16.543646315063107	D	33_21;33_60;33_61
16.579825654385182	LT	n2;33_60;n2;33_66;n14;33_67
16.59855110483679	LT	n2;33_66;n2;33_68;n11;33_69
17.185822462395137	L	29_8
17.185822462395137	AT	n9;29_12;n9;29_16;n2;29_17
17.374416949229772	D	42_7;42_100;42_101
17.510940424754818	D	37_31;37_40;37_41
17.674047106983082	L	16_17
17.674047106983082	AT	n11;16_25;n11;16_28;n2;16_29
18.383067743663087	L	25_27
18.383067743663087	AT	n11;25_26;n11;25_42;n2;25_43
18.56036585423684	L	45_10
18.56036585423684	AT	n12;45_19;n12;45_24;n2;45_25
18.757076436440794	LT	n2;30_3;n2;30_28;n9;30_29
18.91893253420005	D	29_17;29_18;29_19
19.047921397135568	D	49_7;49_50;49_51
