TIME	EVENT	NODES
24.230543837398265	D	37_80;37_84;37_85
24.26219601377872	LT	n27;33_114;n27;33_118;n24;33_119
24.332367690785855	LT	n27;33_118;n27;33_120;n15;33_121
24.514934913644154	D	24_100;24_106;24_107
24.516536765509	LT	n27;50_34;n27;50_36;n26;50_37
24.637753556124807	L	45_52
24.92436301797616	D	40_66;40_72;40_73
25.360798900793455	D	29_38;29_40;29_41
25.780377849112142	L	4_52
25.780377849112142	AT	n2;4_16;n2;4_54;n27;4_55
26.300125337829442	D	50_36;50_38;50_39
26.808601647283517	LT	n27;36_120;n27;36_134;n25;36_135
26.937683878314477	LT	n27;27_60;n27;27_64;n15;27_65
27.312685571285268	LT	n27;41_52;n27;41_56;n15;41_57
27.73446667033969	LT	n27;37_82;n27;37_96;n28;37_97
27.970044887844427	L	46_66
28.327848958193147	L	4_55
28.327848958193147	AT	n17;4_58;n17;4_70;n27;4_71
28.808082320004857	LT	n27;42_206;n27;42_272;n26;42_273
29.336107917239815	L	24_102
29.434590902995016	L	6_32
29.434590902995016	AT	n26;6_31;n26;6_38;n27;6_39
29.555108705152065	AT	n24;46_59;n24;46_94;n27;46_95
29.58185672141638	D	42_216;42_298;42_299
29.759742537212123	L	17_48
29.759742537212123	AT	n35;17_64;n35;17_70;n27;17_71
29.813892212383454	D	42_208;42_324;42_325
29.877670971947886	LT	n27;41_56;n27;41_68;n33;41_69
29.984628233019237	L	24_107
29.984628233019237	AT	n34;24_139;n34;24_160;n27;24_161
30.145511439247525	D	25_92;25_128;25_129
30.27431991307239	D	42_210;42_330;42_331
30.28305740208559	AT	n12;34_16;n12;34_46;n27;34_47
