TIME	EVENT	NODES
16.579825654385182	L	33_65
16.579825654385182	AT	n2;33_60;n2;33_66;n14;33_67
16.92794603110737	D	37_37;37_38;37_39
17.366777028251057	D	9_19;9_22;9_23
17.386656664695973	D	7_45;7_48;7_49
18.079176964165875	AT	n12;44_26;n12;44_28;n14;44_29
18.160933006747353	D	24_37;24_44;24_45
18.182634548186524	L	19_19
18.234540625110377	LT	n14;35_29;n14;35_32;n9;35_33
18.467468254718273	LT	n14;26_19;n14;26_20;n9;26_21
18.909909647206607	LT	n14;42_89;n14;42_102;n12;42_103
18.953707022361463	L	28_25
18.953707022361463	AT	n9;28_22;n9;28_26;n14;28_27
19.67997452668849	D	29_15;29_22;29_23
20.178768050421017	D	7_41;7_54;7_55
20.220920084557136	D	16_27;16_36;16_37
20.40734236477	D	45_23;45_28;45_29
20.46700253000796	D	49_45;49_62;49_63
20.666045506619803	D	16_36;16_38;16_39
20.739412400867973	D	50_19;50_22;50_23
20.833680072974307	L	4_25
20.833680072974307	AT	n16;4_27;n16;4_30;n14;4_31
