TIME	EVENT	NODES
8.406471686409414	AT	n2;4_6;n2;4_8;n9;4_9
8.46586141036396	L	13_20
8.46586141036396	AT	n2;13_7;n2;13_24;n9;13_25
8.51132120981427	D	4_9;4_10;4_11
8.674964604866316	D	18_10;18_12;18_13
9.065277091784152	LT	n9;34_10;n9;34_12;n7;34_13
9.177054746928876	LT	n9;27_18;n9;27_20;n10;27_21
9.558075497096938	D	42_50;42_52;42_53
9.602098305079837	LT	n9;25_16;n9;25_20;n7;25_21
9.917490093136276	LT	n9;33_38;n9;33_48;n5;33_49
10.304651287497444	D	19_12;19_14;19_15
11.442655746340403	L	42_53
11.442655746340403	AT	n3;42_54;n3;42_56;n9;42_57
11.580312947028965	L	48_20
11.580312947028965	AT	n5;48_8;n5;48_22;n9;48_23
11.949463610099452	D	46_12;46_20;46_21
12.447942735805388	D	49_24;49_32;49_33
12.520865494253925	L	30_10
12.520865494253925	AT	n5;30_12;n5;30_16;n9;30_17
12.833985083123391	L	21_14
13.024404508611681	L	4_10
13.024404508611681	AT	n3;4_13;n3;4_18;n9;4_19
13.236790977411136	D	18_13;18_22;18_23
13.392243607773715	D	18_12;18_24;18_25
13.708768722698274	D	26_10;26_14;26_15
13.81573543210193	D	18_25;18_26;18_27
13.836398198854361	D	48_18;48_28;48_29
14.059815221659717	LT	n9;28_10;n9;28_22;n11;28_23
14.414129477202202	LT	n9;49_22;n9;49_40;n10;49_41
14.578782800553096	D	25_20;25_28;25_29
14.684790215909093	LT	n9;18_22;n9;18_30;n12;18_31
14.712424771272598	L	30_17
14.712424771272598	AT	n3;30_15;n3;30_22;n9;30_23
15.230249017514362	D	18_30;18_32;18_33
15.276185719876532	L	2_22
15.308840372368689	L	30_23
15.602058903632248	D	32_10;32_12;32_13
15.65722238478815	D	25_29;25_30;25_31
15.76745551320745	LT	n9;4_11;n9;4_22;n10;4_23
15.788744087884755	D	26_15;26_16;26_17
15.845416270218026	L	32_13
15.989699110654682	D	42_42;42_72;42_73
16.05089634541287	LT	n9;42_57;n9;42_76;n11;42_77
16.262125090546974	D	18_32;18_38;18_39
16.303525088635848	LT	n9;42_72;n9;42_80;n12;42_81
16.521267380544387	D	40_12;40_22;40_23
16.70137287933286	LT	n9;10_10;n9;10_18;n11;10_19
16.90955356215363	D	36_26;36_58;36_59
16.93616117051275	D	13_22;13_36;13_37
17.185822462395137	LT	n9;29_12;n9;29_16;n2;29_17
17.574700817130974	L	21_12
17.83210237208315	LT	n9;18_27;n9;18_42;n12;18_43
17.843069271551617	L	18_33
18.16064999229395	D	3_10;3_20;3_21
18.234540625110377	L	35_18
18.234540625110377	AT	n14;35_29;n14;35_32;n9;35_33
18.467468254718273	L	26_17
18.467468254718273	AT	n14;26_19;n14;26_20;n9;26_21
18.757076436440794	AT	n2;30_3;n2;30_28;n9;30_29
18.953707022361463	LT	n9;28_22;n9;28_26;n14;28_27
