POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	5
1	2	-	5
2	3	+	5
3	4	+	5
4	5	-	5
5	6	-	7
6	7	-	5
7	9	+	98
8	9	+	99
9	9	+	104
10	9	+	105
11	9	+	102
12	9	+	83
13	9	+	19
14	9	+	21
15	10	+	11
16	13	-	18
17	13	-	19
18	14	+	5
19	16	+	13
20	16	+	38
21	16	+	39
22	16	+	27
23	18	-	5
24	19	-	29
25	20	+	40
26	20	+	80
27	20	+	81
28	20	+	44
29	20	+	78
30	20	+	79
31	20	+	19
32	21	-	20
33	21	-	21
34	21	-	13
35	23	-	11
36	23	-	13
37	26	-	13
38	26	-	34
39	26	-	35
40	26	-	17
41	27	+	18
42	27	+	26
43	27	+	27
44	27	+	11
45	28	-	26
46	28	-	27
47	30	+	15
48	30	+	17
49	30	+	19
50	31	+	9
51	31	+	11
52	32	+	9
53	33	-	9
54	33	-	48
55	33	-	49
56	34	+	9
57	34	+	11
58	35	+	42
59	35	+	43
60	36	-	20
61	36	-	21
62	36	-	23
63	37	-	7
64	37	-	42
65	37	-	43
66	37	-	17
67	38	-	9
68	39	-	86
69	39	-	87
70	39	-	21
71	39	-	54
72	39	-	55
73	39	-	41
74	40	+	60
75	40	+	61
76	40	+	25
77	40	+	9
78	41	+	8
79	41	+	9
80	42	-	13
81	45	-	32
82	45	-	33
83	46	-	9
84	46	-	11
85	48	+	7
86	49	+	22
87	49	+	43
88	50	-	7
