POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	15
1	2	-	23
2	2	-	25
3	3	+	25
4	3	+	27
5	4	+	15
6	5	-	15
7	6	-	21
8	7	-	19
9	9	+	85
10	9	+	87
11	9	+	89
12	9	+	91
13	9	+	93
14	9	+	95
15	10	+	33
16	10	+	35
17	13	-	15
18	14	+	21
19	14	+	23
20	16	+	59
21	16	+	61
22	16	+	63
23	16	+	65
24	18	-	15
25	19	-	39
26	19	-	41
27	20	+	67
28	20	+	69
29	20	+	71
30	20	+	73
31	20	+	75
32	21	-	17
33	22	+	19
34	23	-	55
35	23	-	57
36	23	-	59
37	23	-	61
38	23	-	63
39	24	-	31
40	24	-	33
41	26	-	51
42	26	-	53
43	26	-	55
44	27	+	39
45	27	+	41
46	28	-	29
47	30	+	73
48	30	+	75
49	30	+	77
50	30	+	79
51	30	+	81
52	31	+	49
53	31	+	51
54	31	+	53
55	31	+	55
56	32	+	21
57	33	-	31
58	33	-	33
59	34	+	39
60	34	+	41
61	34	+	43
62	35	+	39
63	35	+	41
64	36	-	33
65	36	-	35
66	37	-	35
67	37	-	37
68	38	-	31
69	38	-	33
70	39	-	73
71	39	-	75
72	39	-	77
73	39	-	79
74	40	+	39
75	40	+	41
76	40	+	43
77	41	+	17
78	42	-	33
79	42	-	35
80	45	-	29
81	45	-	31
82	46	-	25
83	48	+	19
84	49	+	29
85	49	+	31
86	50	-	19
