POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	49
1	2	-	61
2	3	+	63
3	3	+	65
4	5	-	39
5	6	-	51
6	7	-	41
7	9	+	271
8	9	+	273
9	9	+	275
10	9	+	277
11	9	+	279
12	9	+	281
13	9	+	283
14	9	+	285
15	9	+	287
16	10	+	75
17	10	+	77
18	10	+	79
19	14	+	63
20	14	+	65
21	14	+	67
22	16	+	163
23	16	+	165
24	16	+	167
25	18	-	37
26	19	-	79
27	19	-	81
28	19	-	83
29	20	+	213
30	20	+	215
31	20	+	217
32	20	+	219
33	20	+	221
34	21	-	87
35	22	+	31
36	23	-	145
37	23	-	147
38	23	-	149
39	23	-	151
40	23	-	153
41	23	-	155
42	23	-	157
43	24	-	73
44	24	-	75
45	24	-	77
46	26	-	157
47	26	-	159
48	26	-	161
49	26	-	163
50	26	-	165
51	26	-	167
52	27	+	137
53	27	+	139
54	27	+	141
55	27	+	143
56	27	+	145
57	28	-	65
58	30	+	183
59	30	+	185
60	30	+	187
61	30	+	189
62	30	+	191
63	31	+	113
64	32	+	45
65	33	-	109
66	33	-	111
67	33	-	113
68	33	-	115
69	34	+	91
70	34	+	93
71	34	+	98
72	34	+	99
73	34	+	97
74	35	+	99
75	35	+	101
76	35	+	103
77	36	-	123
78	36	-	125
79	36	-	127
80	36	-	129
81	37	-	119
82	37	-	121
83	38	-	63
84	38	-	65
85	38	-	67
86	39	-	201
87	39	-	203
88	39	-	205
89	39	-	207
90	39	-	209
91	40	+	135
92	40	+	137
93	40	+	139
94	41	+	59
95	41	+	61
96	41	+	63
97	42	-	93
98	42	-	95
99	45	-	77
100	45	-	79
101	46	-	79
102	48	+	37
103	49	+	97
104	49	+	99
105	49	+	101
106	49	+	103
107	49	+	105
108	49	+	107
109	50	-	43
110	50	-	45
