POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	32
1	2	-	48
2	3	+	44
3	4	+	28
4	5	-	26
5	6	-	40
6	7	-	32
7	9	+	190
8	9	+	192
9	9	+	194
10	9	+	196
11	9	+	198
12	9	+	200
13	9	+	202
14	9	+	204
15	10	+	60
16	13	-	32
17	13	-	34
18	14	+	48
19	16	+	118
20	16	+	120
21	16	+	122
22	16	+	124
23	18	-	28
24	19	-	64
25	20	+	146
26	20	+	148
27	20	+	150
28	20	+	152
29	20	+	154
30	20	+	156
31	20	+	158
32	21	-	46
33	21	-	48
34	21	-	50
35	21	-	52
36	23	-	112
37	23	-	114
38	26	-	108
39	26	-	110
40	26	-	112
41	26	-	114
42	27	+	90
43	27	+	92
44	27	+	94
45	27	+	96
46	28	-	44
47	28	-	46
48	30	+	140
49	30	+	142
50	30	+	144
51	31	+	82
52	31	+	84
53	32	+	34
54	33	-	74
55	33	-	76
56	33	-	78
57	34	+	70
58	34	+	72
59	35	+	66
60	35	+	68
61	36	-	76
62	36	-	78
63	36	-	80
64	36	-	82
65	37	-	76
66	37	-	78
67	37	-	80
68	37	-	82
69	38	-	50
70	39	-	136
71	39	-	138
72	39	-	140
73	39	-	142
74	39	-	144
75	39	-	146
76	40	+	86
77	40	+	88
78	40	+	90
79	40	+	92
80	41	+	40
81	41	+	42
82	42	-	72
83	45	-	54
84	45	-	56
85	46	-	54
86	46	-	56
87	48	+	26
88	49	+	72
89	49	+	74
90	50	-	32
