POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	+	36
1	2	-	52
2	3	+	50
3	4	+	32
4	5	-	30
5	6	-	44
6	7	-	36
7	9	+	226
8	9	+	228
9	9	+	230
10	9	+	232
11	9	+	234
12	9	+	236
13	9	+	238
14	10	+	66
15	13	-	40
16	13	-	42
17	14	+	52
18	16	+	134
19	16	+	136
20	16	+	138
21	16	+	140
22	18	-	32
23	19	-	68
24	20	+	174
25	20	+	176
26	20	+	178
27	20	+	180
28	20	+	182
29	20	+	184
30	20	+	186
31	21	-	62
32	21	-	64
33	21	-	66
34	21	-	68
35	23	-	122
36	23	-	124
37	26	-	124
38	26	-	126
39	26	-	128
40	26	-	130
41	27	+	106
42	27	+	108
43	27	+	110
44	27	+	112
45	28	-	52
46	28	-	58
47	28	-	59
48	30	+	152
49	30	+	154
50	30	+	156
51	31	+	90
52	31	+	92
53	32	+	38
54	33	-	88
55	33	-	90
56	33	-	92
57	33	-	94
58	34	+	80
59	34	+	82
60	35	+	76
61	35	+	78
62	35	+	80
63	36	-	94
64	36	-	96
65	36	-	98
66	36	-	100
67	36	-	102
68	37	-	92
69	37	-	94
70	37	-	96
71	37	-	98
72	38	-	60
73	38	-	61
74	39	-	166
75	39	-	168
76	39	-	170
77	39	-	172
78	39	-	198
79	39	-	199
80	39	-	176
81	40	+	110
82	40	+	112
83	40	+	114
84	41	+	48
85	42	-	76
86	45	-	62
87	45	-	70
88	45	-	71
89	46	-	62
90	46	-	72
91	46	-	73
92	48	+	30
93	49	+	80
94	49	+	88
95	49	+	89
96	50	-	36
